First Name,Last Name,Born,Turned Pro,Retired,Titles,Grand Slam Singles Titles
Venus,Williams,17/06/1980,1994,,49,7
Steffi,Graf,14/06/1969,1982,1999,107,22
Martina,Navratilova,18/10/1956,1975,2006,167,18
Margaret,Court,16/07/1942,1960,1977,192,24
Chris,Evert,21/12/1954,1972,1989,157,18
Monica,Seles,02/12/1973,1989,2008,53,9
Billie Jean,King,22/11/1943,1959,1990,129,12
Serena,Williams,26/09/1981,1995,,73,23
Justine,Henin,01/06/1982,1999,2011,50,7
Evonne,Goolagong,31/07/1951,1968,1983,86,7
Martina,Hingis,30/09/1980,1994,2017,43,5
